NAME1,ADDRESS,TK,NAME,TITLE,TITLE_1, 
Άβδηρα,,,Άβδηρα,ΛΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Αγ. Δονάτος ,Ζερβοχώρι,46200,Ζερβοχώρι,ΛΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οχύρωση, 
Αγία Ειρήνη Κέας,,,Κοινότητα Κορησίας,ΚΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Αγία Ειρήνη Κέας,,,Κοινότητα Κορησίας,ΚΑ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Αγία Ευθυμία,,,Δελφοί,Ι΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οχύρωση, 
Αγία Τριάδα,,,Αγία Τριάδα,Ζ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Αγία Τριάδα Μεγάρων (σημερινό Νέο Μελί),,,Μέγαρα,Γ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Αμυντικοί, 
Άγιοι Σαράντα Άλιντα,"Άλιντα, Λέρος",85400,Λέρος,4η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Άγιον Όρος,,,Άγιον Όρος,10η Εφορεία Βυζαντινών Αρχαιοτήτων,Μοναστηριακό Κέντρο, 
Άγιος Ονούφριος,,,Μεθώνη,26η Εφορεία Βυζαντινών Αρχαιοτήτων,Νεκροταφείο, 
Άγιος Παντελεήμονας Αμυνταίου - Μεταμόρφωση Σωτήρος,,53200,Αμύνταιο,ΚΘ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Αγορά,,,Κέρκυρα,Η΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Αγορά, 
Αγορά - Λιμένας Κω,,85300,Κως,ΚΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οικιστικό σύνολο, 
Αγορά αρχαίας Ήλιδος,,,Ήλιδα,Ζ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Αγορά, 
Αγορά αρχαίας Θάσου,,,Λιμένας Θάσου,ΙΗ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Αγορά, 
Αγορά αρχαίας πόλης της Κέρκυρας,,,Κέρκυρα,Η΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Αγορά, 
Άζωρος,,,Άζωρος,7η Εφορεία Βυζαντινών Αρχαιοτήτων,Πόλη, 
Αιγές,,59031,Βεργίνα,ΙΖ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Αίνεια,Αγγελοχώρι,57004,Νέα Μηχανιώνα,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκρόπολη, 
Ακαδημία Πλάτωνος,"Περιοχή Ακαδημία Πλάτωνος, Αθήνα (Νομός Αττικής)",,Αθήνα,Γ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Εκπαιδευτικό κέντρο, 
Άκανθος,Ιερισσός,63075,Ιερισσός,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Νεκροταφείο, 
Άκανθος,Ιερισσός,63075,Ιερισσός,ΙΣΤ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Ακοβίτικα,ΚΑΛΑΜΑΤΑ,24100,Ακοβίτικα,ΛΗ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Προϊστορικός οικισμός, 
Ακραίφνιον - Πτώον,,,Ακραίφνιο,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Πόλη, 
Ακρόπολη  Καστρίτσας,Καστρίτσα Ιωαννίνων,,Καστρίτσα,ΙΒ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Οχυρωμένος οικισμός, 
Ακρόπολη Αθηνών,,,Αθήνα,Α' Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ιερό, 
Ακρόπολη Αθηνών,,,Αθήνα,Α' Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Ακρόπολη Αλιέων,,,Ερμιονίδα,Δ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Ακρόπολη Αρχαίων Σιφών,Αλυκή Ξηρονομής,,Αλυκή Ξηρονομής,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Ακρόπολη Αρχαίων Σιφών,Αλυκή Ξηρονομής,,Αλυκή Ξηρονομής,Θ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
Ακρόπολη Ερεσού,Σκάλα Ερεσού,,Σκάλα Ερεσού,Κ΄ Εφορεία Προϊστορικών και Κλασικών Αρχαιοτήτων,Ακρόπολη, 
