   ,ΤΙΤΛΟΣ,ΣΗΜΑ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΤΥΠΟΣ,ΤΑΞΗ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΔΗΜΟΣ,ΔΗΜΟΤΙΚΗ_ΕΝΟΤΗΤΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΙΔΙΟΚΤΗΤΗΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΣΥΝΟΛΟ ΚΛΙΝΩΝ,ΣΥΝΟΛΟ ΔΩΜΑΤΙΩΝ
1,ΑΡΧΟΝΤΙΚΟ ΤΗΣ ΠΕΠΩΣ,0413Κ060Α0111101,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Παραδοσιακό Ξενοδοχείο Κλασικού Τύπου,0Α,ΤΖΑΒΕΛΛΑ 11ΝΑΥΠΑΚΤΟΥ,30300,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,2634038185,ΤΑΣΟΣ ΔΕΛΗΜΠΑΛΤΑΔΑΚΗΣ DELTA SPORTS SERVICES Μ.ΕΠΕ,"ΣΙΓΑΛΑ ΝΙΚΟΛΙΤΣΑ,ΜΑΡΙΑ & ΣΙΓΑΛΑΣ ΜΙΧΑΗΛ",2009,9,5
2,ΕΝΕΤΙΚΟ ΛΙΜΑΝΙ,0413Κ060Β0115301,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Παραδοσιακό Ξενοδοχείο Κλασικού Τύπου,0Β,Ν. ΜΠΟΤΣΑΡΗ & ΚΛΕΟΝΙΚΟΥΝΑΥΠΑΚΤΟΥ,30300,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,2634029104,ΑΦΟΙ ΤΥΡΟΠΑΝΗ Ο.Ε.,ΤΣΙΑΡΑΣ ΙΩΑΝΝΗΣ,2010,6,3
3,ΑΙΤΩΛΙΑ,0413Κ011Α0004700,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΘΕΡΜΟ ΤΡΙΧΩΝΙΔΑΣ ΑΙΤΘΕΡΜΟΥ,300 08,ΘΕΡΜΟΥ,ΘΕΡΜΟΥ,,26440 22394,ΕΥΘΥΜΙΟΣ ΤΣΑΡΟΥΧΗΣ,ΕΥΘΥΜΙΟΣ ΤΣΑΡΟΥΧΗΣ,1969,12,7
4,ΑΚΡΟΓΙΑΛΙ,0413Κ011Α0005400,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΜΥΤΙΚΑΣ ΑΙΤΩΛ/ΝΙΑΣ,300 19,ΞΗΡΟΜΕΡΟΥ,,,26460 81206, ΣΟΥΛΑΣ ΝΙΚΟΛΑΟΣ,ΣΟΥΛΑΣ ΝΙΚΟΛΑΟΣ,1978,12,7
5,ΑΛΕΞΑΝΔΡΑ,0413Κ011Α0000600,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΑΣΤΙΓΟΣ 12ΑΙΤΩΛΙΚΟΥ,304 00,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΑΙΤΩΛΙΚΟΥ,,26320 23019,ΚΩΝ/ΝΑ ΚΑΤΣΟΥΛΗ,ΙΩΑΝΝΗΣ ΣΩΤΗΡΑΚΟΠΟΥΛΟΣ,1976,22,11
6,ΑΥΡΑ,0413Κ011Α0001000,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,Χ.ΤΡΙΚΟΥΠΗ1 κ ΠΛ.ΜΠΟΤΣΑΡΗΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,302 00,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,,26310 22284,ΔΗΜΗΤΡΙΟΣ ΝΙΚΟΛΑΟΥ ΠΛΑΓΚΑΣ,Β.κ Ν.ΛΑΜΠΡΟΠΟΥΛΟΣ(Ψ.ΚΥΡ)-Ι.κ Κ.ΛΑΜΠΡΟΠΟΥΛΟΣ(ΕΠΙ,1969,34,16
7,ΔΙΕΘΝΕΣ,0413Κ011Α0002200,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΜΕΣΟΛΟΓΓΙΟΥ 3ΝΑΥΠΑΚΤΟΥ,303 00,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,,26340 27342,ΖΑΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΣΠΥΡΙΔΩΝ ΚΟΚΚΙΝΗΣ,1960,9,4
8,ΕΛΕΝΑ,0413Κ011Α0000200,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΑΜΦΙΛΟΧΙΑ ΑΙΤΩΛ/ΝΙΑΣΑΜΦΙΛΟΧΙΑΣ,305 00,ΑΜΦΙΛΟΧΙΑΣ,ΑΜΦΙΛΟΧΙΑΣ,,,ΓΚΑΤΣΗ ΘΕΟΔΩΡΑ,ΑNΝΔΡΕΑΣ & ΣΩΤΗΡ. ΚΑΤΣΟΥΔΑΣ,1979,27,14
9,ΚΥΜΑΤΑ,0413Κ011Α0005700,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΜΥΤΙΚΑΣ ΑΙΤΩΛ/ΝΙΑΣΑΛΥΖΙΑΣ,300 19,ΞΗΡΟΜΕΡΟΥ,ΑΛΥΖΙΑΣ,,26460 81311,ΒΑΣΙΛΕΙΟΣ ΠΑΛΗΟΓΙΑΝΝΗΣ  & ΣΙΑ Ο.Ε.,ΠΑΛΗΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ Ν.,1979,20,10
10,ΝΙΚΗ,0413Κ011Α0002600,Δυτικής Ελλάδας,Αιτωλοακαρνανίας,Ξενοδοχείο Κλασικού Τύπου,1Α,ΤΖΑΒΕΛΑ 67ΝΑΥΠΑΚΤΟΥ,303 00,ΝΑΥΠΑΚΤΙΑΣ,ΝΑΥΠΑΚΤΟΥ,ntsarpalias@hotmail.com,26340 28901,ΝΙΚΟΛΑΟΣ Χ. ΤΣΑΡΠΑΛΙΑΣ,ΧΑΡΑΛΑΜΠΟΣ ΝΙΚ.ΤΣΑΡΠΑΛΙΑΣ,1971,37,18
